phyto_class,Diatom,Diatom,Dinoflagellate,Dinoflagellate,Haptophyte,Haptophyte,Chlorophyte,Cryptophyte,Cryptophyte,Cyanophyte,Cyanophyte,NAP,CDOM
phyto_taxa,Skel,Sthal,Alex,Cerat,Luth,Parv,Dun,Rsal,Cfrag,Syma,Syn,BrnEarth,CDOM
wavelength,,,,,,,,,,,,,
456,4.12535300762497e-05,0.0002834635,0.0001993235,0.0001067576,0.000520274,0.000374555,5.7010555794916e-06,0.0001490995,0.0017325047499999922,0.0003914945,1.77139993926511e-06,0.01059171699741155,0.022657282558156966
457,4.16981078791302e-05,0.000288033,0.000199656,0.0001097345,0.00052561,0.000376583,5.76499353726842e-06,0.0001497565,0.0017371663055555469,0.0003954055,1.87616155481324e-06,0.010668361734253659,0.02276386993235642
458,4.21488986162101e-05,0.0002924885,0.0001998915,0.00011260915,0.000531007,0.0003786975,5.82490305902628e-06,0.000150233,0.001741827861111102,0.000398851,1.97588824779836e-06,0.010745006471095768,0.022870457306555868
459,4.26082321378142e-05,0.0002969105,0.000200084,0.000115421,0.000536532,0.000380946,5.88171046962516e-06,0.0001505995,0.0017464894166666566,0.000401953,2.07185848770118e-06,0.010821651207937884,0.022977044680755322
460,4.30774498729173e-05,0.000301366,0.000200276,0.0001182035,0.000542238,0.000383364,5.93608358466179e-06,0.0001509145,0.0017540644444444353,0.0004048115,2.16510476768904e-06,0.010898295944779993,0.02308363205495477
461,4.35634001694437e-05,0.000305939,0.000200527,0.000120948,0.000548229,0.000386055,5.98739767341663e-06,0.0001512495,0.001763387555555549,0.0004075235,2.25530519283328e-06,0.010974940681622102,0.023190219429154224
462,4.40748376164925e-05,0.000310732,0.000200902,0.0001236505,0.000554619,0.0003891345,6.0351141749246e-06,0.000151693,0.0017727106666666627,0.0004102135,2.34228059520194e-06,0.01105158541846421,0.02329680680335367
463,4.46151510872635e-05,0.000315778,0.0002014,0.000126336,0.0005613935,0.0003926015,6.07994398965963e-06,0.000152293,0.0017820337777777772,0.000412956,2.42667476465229e-06,0.01112823015530632,0.023403394177553126
464,4.51866704320813e-05,0.0003210975,0.000202016,0.000129026,0.000568537,0.0003964495,6.12251184834123e-06,0.000153082,0.001791356888888891,0.0004158035,2.50902520498026e-06,0.011204874892148435,0.02351844473333222
465,4.57906664783959e-05,0.00032673,0.000202757,0.000131745,0.000576029,0.0004007305,6.16242998707454e-06,0.000154137,0.0018030637500000063,0.0004188015,2.58914363802004e-06,0.011281519628990544,0.023638424136009875
466,4.64286924597571e-05,0.000332726,0.0002036335,0.000134528,0.000583849,0.0004054835,6.19965532098234e-06,0.000155535,0.0018170484166666742,0.0004220255,2.66745824476162e-06,0.011358164365832653,0.023758403538687536
467,4.71015249929399e-05,0.0003391275,0.000204654,0.0001374065,0.000592005,0.0004106735,6.235092632486e-06,0.0001572745,0.0018310330833333412,0.00042558,2.7459307622229e-06,0.011433213052539935,0.023878382941365198
468,4.7809799491669e-05,0.000345971,0.0002058235,0.0001404055,0.0006005015,0.000416279,6.26934510986644e-06,0.000159359,0.0018450177500000092,0.000429545,2.82599757060431e-06,0.011506900592071878,0.023998362344042852
469,4.85452555775205e-05,0.00035314,0.0002072145,0.000143558,0.0006092055,0.0004222935,6.30232658336924e-06,0.0001618605,0.001859002416666677,0.000433857,2.90684178560583e-06,0.011580588131603814,0.024118341746720513
470,4.92987856537701e-05,0.0003605105,0.0002089025,0.000146899,0.00061798,0.0004287095,6.33392934080138e-06,0.000164855,0.0018774367500000166,0.0004384485,2.98760097175827e-06,0.011654275671135757,0.024238321149398175
471,5.0060081897769e-05,0.000368003,0.000210835,0.0001504435,0.0006267235,0.0004354285,6.36428263679449e-06,0.0001682915,0.0019026091500000137,0.0004432215,3.06815669602186e-06,0.011727963210667693,0.024381919129690094
472,5.08175656594183e-05,0.000375524,0.0002129505,0.0001542075,0.000635317,0.00044234,6.3936018957346e-06,0.000172111,0.001927781550000009,0.000448063,3.14840570907987e-06,0.011801650750199635,0.024531415005033808
473,5.15649534029935e-05,0.000382899,0.0002152435,0.000158122,0.0006435615,0.00044934,6.42229642395519e-06,0.000176258,0.0019529539500000043,0.0004529065,3.22780443364713e-06,0.011875338289731571,0.024680910880377535
474,5.22962439988704e-05,0.0003899145,0.0002177145,0.000162092,0.0006512175,0.0004563065,6.45090478242137e-06,0.0001806635,0.0019803318369565302,0.0004576805,3.30568782265412e-06,0.011949025829263514,0.02483040675572125
475,5.30106608302739e-05,0.000396485,0.0002203635,0.0001660725,0.0006582495,0.000463173,6.48000861697544e-06,0.000185247,0.0020216778079710264,0.000462324,3.38194351655026e-06,0.01202271336879545,0.024979902631064976
476,5.37078508895792e-05,0.0004025615,0.000223189,0.000170037,0.000664673,0.0004698955,6.50999569151228e-06,0.000189942,0.0020630237789855226,0.0004667885,3.45656240510173e-06,0.012096400908327393,0.02512939850640869
477,5.43816012425868e-05,0.0004080575,0.000226197,0.0001739925,0.000670373,0.000476455,6.54142610943559e-06,0.0001947055,0.0021043697500000187,0.000471041,3.52919829942302e-06,0.012170088447859329,0.025278894381752404
478,5.50189918102231e-05,0.000412792,0.000229401,0.0001779585,0.00067509,0.0004828125,6.57580784144765e-06,0.0001994175,0.002145715721014515,0.000475008,3.59916489523231e-06,0.012248207186358773,0.025428076455007567
479,5.56226348489127e-05,0.000416781,0.0002327425,0.00018192,0.000678805,0.0004889595,6.61428263679449e-06,0.0002039385,0.0021884199385965135,0.000478718,3.66691770422108e-06,0.01233254413930382,0.025575043946516537
